iter	Passed	Remaining
0	158	15707
1	172	8438
2	188	6089
3	208	4995
4	220	4194
5	235	3686
6	248	3306
7	261	3004
8	273	2768
9	286	2580
10	294	2385
11	307	2255
12	317	2121
13	330	2028
14	342	1938
15	354	1861
16	367	1796
17	382	1740
18	399	1705
19	413	1652
20	425	1598
21	437	1552
22	451	1510
23	464	1471
24	477	1433
25	489	1393
26	504	1363
27	518	1334
28	535	1311
29	550	1284
30	559	1246
31	572	1216
32	585	1188
33	598	1160
34	611	1135
35	624	1110
36	637	1084
37	650	1061
38	663	1037
39	675	1013
40	689	992
41	702	970
42	715	948
43	728	927
44	744	910
45	761	893
46	774	873
47	790	856
48	810	843
49	823	823
50	836	803
51	849	784
52	863	765
53	877	747
54	890	728
55	902	709
56	924	697
57	943	683
58	965	671
59	981	654
60	996	637
61	1034	633
62	1064	625
63	1100	618
64	1127	607
65	1145	590
66	1159	570
67	1173	552
68	1187	533
69	1201	514
70	1214	495
71	1231	478
72	1271	470
73	1286	452
74	1301	433
75	1316	415
76	1329	397
77	1342	378
78	1356	360
79	1371	342
80	1385	325
81	1413	310
82	1433	293
83	1446	275
84	1459	257
85	1471	239
86	1484	221
87	1499	204
88	1512	186
89	1525	169
90	1537	152
91	1550	134
92	1563	117
93	1578	100
94	1591	83
95	1604	66
96	1617	50
97	1630	33
98	1643	16
99	1656	0
